District,KDG_District,Crop,Original Production,New Production,Impact,Stability,Stress,Perturbation,Factor
BENGALURU,Bengaluru Urban,Groundnut,71.0,75,5.633802816901409,0.9612717958098203,0.03872820419017972,10,TotalNPK
BENGALURU(R),Bengaluru Rural,Groundnut,206.0,212,2.912621359223301,0.9874328289466991,0.012567171053300808,10,TotalNPK
RAMANAGARA,Ramanagara,Groundnut,4830.0,4873,0.8902691511387164,0.909928679261284,0.09007132073871608,10,TotalNPK
CHITRADURGA,Chitradurga,Groundnut,68575.0,69745,1.7061611374407581,0.7952343933173296,0.20476560668267044,10,TotalNPK
DAVANAGERE,Davanagere,Groundnut,16592.0,16897,1.8382352941176472,0.10884636256938673,0.8911536374306133,10,TotalNPK
KOLAR,Kolar,Groundnut,5810.0,6120,5.335628227194492,0.8470354169877414,0.15296458301225854,10,TotalNPK
CHIKKABALLAPURA,Chikkaballapura,Groundnut,7132.0,7367,3.295008412787437,0.8536690555194582,0.14633094448054187,10,TotalNPK
SHIVAMOGGA,Shivamogga,Groundnut,248.0,252,1.6129032258064515,0.9894614887559126,0.010538511244087476,10,TotalNPK
TUMAKURU,Tumakuru,Groundnut,39626.0,40318,1.7463281683742997,0.8753522319987774,0.12464776800122256,10,TotalNPK
CHIKKAMAGALURU,Chikkamagaluru,Groundnut,3909.0,4130,5.653619851624456,0.6724132660988792,0.3275867339011208,10,TotalNPK
DAKSHINA KANNADA,Dakshina Kannada,Groundnut,0.0,0,,0.7751940543547373,0.2248059456452627,10,TotalNPK
UDUPI,Udupi,Groundnut,3623.0,3655,0.883245928788297,0.8351724718962075,0.1648275281037925,10,TotalNPK
HASSAN,Hassan,Groundnut,521.0,532,2.111324376199616,0.36362634511660374,0.6363736548833963,10,TotalNPK
KODAGU,Kodagu,Groundnut,45.0,48,6.666666666666667,0.698641517994661,0.301358482005339,10,TotalNPK
MANDYA,Mandya,Groundnut,1021.0,1053,3.1341821743388834,0.7395485002612215,0.26045149973877846,10,TotalNPK
MYSURU,Mysuru,Groundnut,2170.0,2216,2.1198156682027647,1.0,0.0,10,TotalNPK
CHAMARAJANAGAR,Chamarajanagara,Groundnut,8867.0,9053,2.0976655012969436,0.8032548790719456,0.19674512092805443,10,TotalNPK
BELAGAVI,Belagavi,Groundnut,39530.0,40938,3.561851758158361,0.0,1.0,10,TotalNPK
VIJAYAPURA,Vijayapura,Groundnut,27528.0,28067,1.9580063934902643,0.8935662538816236,0.10643374611837646,10,TotalNPK
BAGALKOT,Bagalkote,Groundnut,25444.0,26431,3.879107058638579,0.9482098725860189,0.05179012741398118,10,TotalNPK
DHARAWAD,Dharwad,Groundnut,21178.0,21819,3.026725847577675,0.5569254258676777,0.4430745741323224,10,TotalNPK
GADAG,Gadag,Groundnut,31332.0,31870,1.7170943444401887,0.755649689834546,0.24435031016545403,10,TotalNPK
HAVERI,Haveri,Groundnut,18309.0,18718,2.233874051013163,0.48386973642542763,0.5161302635745724,10,TotalNPK
UTTARA KANNADA,Uttara Kannada,Groundnut,3825.0,3894,1.803921568627451,0.46215254568565356,0.5378474543143464,10,TotalNPK
BALLARI,Ballari,Groundnut,22938.5,23727,3.4374523181550667,0.6961204419287996,0.3038795580712004,10,TotalNPK
BIDAR,Bidar,Groundnut,261.0,270,3.4482758620689653,0.9881757755572628,0.01182422444273725,10,TotalNPK
KALABURAGI,Kalaburagi,Groundnut,3114.0,3178,2.0552344251766215,0.8667197163897301,0.13328028361026986,10,TotalNPK
YADGIRI,Yadgir,Groundnut,31435.0,33280,5.869254016223954,0.8346639530068318,0.16533604699316815,10,TotalNPK
RAICHUR,Raichur,Groundnut,26958.0,27934,3.620446620669189,0.6567089047989718,0.34329109520102813,10,TotalNPK
KOPPAL,Koppal,Groundnut,29982.0,30719,2.4581415515976253,0.8555038566645574,0.14449614333544264,10,TotalNPK
VIJAYANAGARA,Vijayanagara,Groundnut,22938.5,23727,3.4374523181550667,0.6025393384745097,0.3974606615254903,10,TotalNPK
BENGALURU,Bengaluru Urban,Maize,2879.0,3135,8.891976380687739,0.9612717958098203,0.03872820419017972,10,TotalNPK
BENGALURU(R),Bengaluru Rural,Maize,42583.0,44357,4.165981729798276,0.9874328289466991,0.012567171053300808,10,TotalNPK
RAMANAGARA,Ramanagara,Maize,10450.0,10579,1.2344497607655502,0.909928679261284,0.09007132073871608,10,TotalNPK
CHITRADURGA,Chitradurga,Maize,271975.0,278347,2.3428623954407573,0.7952343933173296,0.20476560668267044,10,TotalNPK
DAVANAGERE,Davanagere,Maize,593544.0,608566,2.5308991414284367,0.10884636256938673,0.8911536374306133,10,TotalNPK
KOLAR,Kolar,Maize,1759.0,1888,7.333712336554861,0.8470354169877414,0.15296458301225854,10,TotalNPK
CHIKKABALLAPURA,Chikkaballapura,Maize,105491.0,110281,4.540671716070565,0.8536690555194582,0.14633094448054187,10,TotalNPK
SHIVAMOGGA,Shivamogga,Maize,226532.0,232627,2.6905691028199104,0.9894614887559126,0.010538511244087476,10,TotalNPK
TUMAKURU,Tumakuru,Maize,66868.0,68473,2.4002512412514205,0.8753522319987774,0.12464776800122256,10,TotalNPK
CHIKKAMAGALURU,Chikkamagaluru,Maize,61353.0,66120,7.769791208253875,0.6724132660988792,0.3275867339011208,10,TotalNPK
DAKSHINA KANNADA,Dakshina Kannada,Maize,0.0,0,,0.7751940543547373,0.2248059456452627,10,TotalNPK
UDUPI,Udupi,Maize,109.0,110,0.9174311926605505,0.8351724718962075,0.1648275281037925,10,TotalNPK
HASSAN,Hassan,Maize,333937.0,343895,2.9819995987267056,0.36362634511660374,0.6363736548833963,10,TotalNPK
KODAGU,Kodagu,Maize,17921.0,19977,11.472574075107415,0.698641517994661,0.301358482005339,10,TotalNPK
MANDYA,Mandya,Maize,19387.0,20233,4.363748903904678,0.7395485002612215,0.26045149973877846,10,TotalNPK
MYSURU,Mysuru,Maize,137154.0,141213,2.9594470449276,1.0,0.0,10,TotalNPK
CHAMARAJANAGAR,Chamarajanagara,Maize,147886.0,152146,2.8805972167750835,0.8032548790719456,0.19674512092805443,10,TotalNPK
BELAGAVI,Belagavi,Maize,576758.0,604981,4.89338682775098,0.0,1.0,10,TotalNPK
VIJAYAPURA,Vijayapura,Maize,226327.0,232417,2.69079694424439,0.8935662538816236,0.10643374611837646,10,TotalNPK
BAGALKOT,Bagalkote,Maize,251699.0,265107,5.3269977234712895,0.9482098725860189,0.05179012741398118,10,TotalNPK
DHARAWAD,Dharwad,Maize,90634.0,94402,4.157380232583799,0.5569254258676777,0.4430745741323224,10,TotalNPK
GADAG,Gadag,Maize,138476.0,141743,2.3592535890695863,0.755649689834546,0.24435031016545403,10,TotalNPK
HAVERI,Haveri,Maize,413487.0,426188,3.0716806090638884,0.48386973642542763,0.5161302635745724,10,TotalNPK
UTTARA KANNADA,Uttara Kannada,Maize,24088.0,24687,2.486715376951179,0.46215254568565356,0.5378474543143464,10,TotalNPK
BALLARI,Ballari,Maize,104045.0,108956,4.72007304531693,0.6961204419287996,0.3038795580712004,10,TotalNPK
BIDAR,Bidar,Maize,2791.0,2936,5.19527051236116,0.9881757755572628,0.01182422444273725,10,TotalNPK
KALABURAGI,Kalaburagi,Maize,14621.0,15036,2.838383147527529,0.8667197163897301,0.13328028361026986,10,TotalNPK
YADGIRI,Yadgir,Maize,2673.0,2888,8.043396932285821,0.8346639530068318,0.16533604699316815,10,TotalNPK
RAICHUR,Raichur,Maize,723.0,758,4.840940525587829,0.6567089047989718,0.34329109520102813,10,TotalNPK
